title,category_code,status,date
Crir repositório no GitHub,2,Concluído,08/01/2022
Convidar colaboradores,1,Concluído,08/01/2022
Separar atribuições,1,Concluído,09/01/2022
Implementar filtro de data,2,Concluído,09/01/2022
Resgatar cupom do ifood,0,Concluído,10/01/2022
Limpar a lista,1,Pendente,10/01/2022
Revisar Lista,0,Pendente,10/01/2022
Assar batatas,2,Concluído,10/01/2022
Escovar os dentes,2,Pendente,11/01/1922
Assar batatas,1,Pendente,11/01/2022
Revisar SQL,0,Pendente,11/01/2022
Finalizar o módulo de Python,2,Concluído,11/01/2022
Pesquisar sobre DataFrame,1,Concluído,12/01/2022
Levar a avó na capoeira,2,Pendente,12/01/2022
Arrumar as roupas do armário,0,Pendente,12/01/2022
Assar batatas,0,Concluído,12/01/2022
Assistir à gravações de aula,1,Pendente,12/01/2022
Avaliar todas as PRs do projeto,2,Concluído,12/01/2022
Finalizar o projeto,2,Pendente,12/01/2022
Assar batatas,0,Pendente,13/01/2022
Assar batatas,1,Pendente,14/01/2022
Assar batatas,2,Pendente,15/01/2022
Assar batatas,0,Pendente,16/01/2022
Assar batatas,1,Pendente,17/01/2022
Assar batatas,0,Pendente,18/01/2022